latitude,longitude,weight
62.524330321000093,5.375198828000066,30
63.290866667000046,5.297866667000108,30
66.398333333000096,12.653500000000122,2
66.605843209000170,13.072604299999966,6
67.802833333000194,14.329333333000079,35
68.142000000000166,14.026166667000041,8
68.100750000000062,14.459233332999986,12
68.719483333000142,17.051900000000103,30
70.111083333000124,21.105450000000189,10
70.123333333000119,21.201349999999991,8
70.181150000000059,21.117983333000097,12
70.183900000000051,21.111883333000037,30
70.081100000000049,21.062566666999999,20
70.462950000000035,21.531466667000075,20
70.391783333000035,21.779283333000080,10
70.370766667000112,21.857716667000091,5
70.370000000000005,21.863483333000090,16
70.465833333000091,21.975400000000093,10
70.367533333000154,21.869366667000179,40
71.122183333000123,26.166666667000186,10
71.067250000000172,26.304166667000118,1
71.066786363999995,26.318020918000059,9
71.055000000000007,26.297500000000127,10
70.952499999999986,26.021683333000112,10
71.094166667000195,27.186166667000123,20
71.197666667000192,26.690166667000085,30
70.059016667000151,29.623216667000122,15
70.382316667000111,31.438666667000064,40
70.781633333000173,29.964133333000177,1
70.774350000000197,28.253716667000049,40
70.969716667000171,26.186266667000041,8
70.756083333000049,23.757266667000181,5
70.364483333000180,21.897983333000013,51
70.387650000000065,21.819133332999968,12
70.608866667000086,21.544333333000111,24
70.676883333000148,21.700800000000072,20
70.699166667000043,21.798116667000102,30
70.114616667000064,21.384150000000147,15
70.046766667000156,20.132700000000170,40
69.979883333000089,16.772500000000150,8
70.597166667000181,17.160166667000055,5
69.680000000000064,15.899666667000190,51
69.695000000000164,15.901666667000086,3
69.427016667000089,15.769166667000150,12
69.414000000000158,15.701166667000052,7
69.358666667000136,15.864333333000047,25
69.346398259000068,15.825384094000128,4
69.333844353000188,15.791331355000125,15
69.330934228000160,15.763295547000041,15
69.339277841000126,15.806306292999977,23
69.330317470000125,15.774015520000148,30
69.238000000000056,14.819833333000133,50
69.146511953000186,14.264243662000183,6
68.720333333000099,12.578833333000091,30
68.640166667000187,12.112166667000054,48
68.646578512000190,12.127924345000167,10
68.644233333000045,12.036733333000029,20
68.539333333000002,11.570000000000107,30
68.523704688000180,11.564046146000067,5
67.542000000000144,9.338833332999968,1
67.393500000000074,8.990500000000054,1
67.545800917000122,9.341446085000143,10
67.547760793000123,9.353927717000090,10
67.333538666000038,8.784309778000079,13
71.017333333000181,26.680900000000122,24
70.684183333000192,30.770266667000044,20
70.958326837000129,25.913943785000185,30
69.471433332999993,15.641666666999981,15
58.07401,8.03338,1
58.04717,7.73779,1
58.12019,8.06995,1
58.05222,7.72338,1
58.12929,8.04194,1
58.11073,8.17652,1
58.06649,7.88684,2
59.2411,10.47687,2
58.02554,7.29858,2
58.02423,7.30238,2
58.23325,8.3969,1
58.00293,7.44297,1
58.98257,5.73451,1
58.9825,5.73535,3
58.95331,5.84193,1
57.98396,7.54228,1
58.22024,8.39339,1
60.16843,5.1907,1
58.09557,8.0058,1
58.10595,8.09248,1
